list-none-m,1,1000,1,3000,6326941,2108,353
list-none-s,1,1000,1,3000,6122074,2040,335
list-none-m,4,1000,1,12000,142228746,11852,29175
list-none-s,4,1000,1,12000,475621771,39635,29667
list-none-m,8,1000,1,24000,587830885,24492,430823
list-none-s,8,1000,1,24000,3782246565,157593,137826
list-none-m,12,1000,1,36000,1350234133,37506,396611
list-none-s,12,1000,1,36000,15212065318,422557,664756
list-none-m,16,1000,1,48000,2425190865,50524,684988
list-none-s,16,1000,1,48000,37341092341,777939,787244
list-none-m,24,1000,1,72000,5608051856,77889,1722714
list-none-s,24,1000,1,72000,114224174250,1586446,1789701
list-id-none,1,1,4,3,111279,37093,0
list-id-none,1,2,4,6,108144,18024,0
list-id-none,1,4,4,12,85361,7113,0
list-id-none,1,8,4,24,108229,4509,0
list-id-none,1,16,4,48,118275,2464,0
list-id-none,4,2,4,24,442721,18446,0
list-id-none,4,4,4,48,357471,7447,0
list-id-none,4,8,4,96,353799,3685,0
list-id-none,4,16,4,192,351781,1832,0
list-id-none,8,1,4,24,570263,23760,0
list-id-none,8,2,4,48,526552,10969,0
list-id-none,8,4,4,96,563418,5868,0
list-id-none,8,8,4,192,535440,2788,0
list-id-none,8,16,4,384,719501,1873,0
list-id-none,12,1,4,36,572822,15911,0
list-id-none,12,2,4,72,678212,9419,0
list-id-none,12,4,4,144,687807,4776,0
list-id-none,12,8,4,288,650171,2257,0
list-id-none,12,16,4,576,714535,1240,0
list-id-none,16,1,4,48,973708,20285,0
list-id-none,16,2,4,96,975255,10158,0
list-id-none,16,4,4,192,918474,4783,0
list-id-none,16,8,4,384,770178,2005,0
list-id-m,1,10,4,30,155460,5182,499
list-id-s,1,10,4,30,131275,4375,394
list-id-m,1,20,4,60,218446,3640,424
list-id-s,1,20,4,60,153842,2564,367
list-id-m,1,40,4,120,200857,1673,348
list-id-s,1,40,4,120,175128,1459,354
list-id-m,1,80,4,240,289201,1205,349
list-id-s,1,80,4,240,305452,1272,344
list-id-m,4,10,4,120,527083,4392,747
list-id-s,4,10,4,120,589284,4910,767
list-id-m,4,20,4,240,738183,3075,1236
list-id-s,4,20,4,240,694512,2893,604
list-id-m,4,40,4,480,1399729,2916,1337
list-id-s,4,40,4,480,1242571,2588,826
list-id-m,4,80,4,960,2913009,3034,1603
list-id-s,4,80,4,960,2563760,2670,1055
list-id-m,8,10,4,240,2250711,9377,555
list-id-s,8,10,4,240,982922,4095,813
list-id-m,8,20,4,480,2007106,4181,2495
list-id-s,8,20,4,480,1983469,4132,1495
list-id-m,8,40,4,960,4075168,4244,3145
list-id-s,8,40,4,960,4379506,4561,2353
list-id-m,8,80,4,1920,8010725,4172,4628
list-id-s,8,80,4,1920,11929138,6213,3711
list-id-m,12,10,4,360,2195429,6098,3186
list-id-s,12,10,4,360,1356451,3767,566
list-id-m,12,20,4,720,3930420,5458,4001
list-id-s,12,20,4,720,3812344,5294,2684
list-id-m,12,40,4,1440,7129402,4950,6431
list-id-s,12,40,4,1440,10599800,7360,4708
list-id-m,12,80,4,2880,13809618,4795,7736
list-id-s,12,80,4,2880,31237062,10846,7654
list-id-m,16,10,4,480,3124643,6509,3422
list-id-s,16,10,4,480,3181175,6627,561
list-id-m,16,20,4,960,5468250,5696,5351
list-id-s,16,20,4,960,4991472,5199,2474
list-id-m,16,40,4,1920,9885529,5148,9465
list-id-s,16,40,4,1920,20852981,10860,7775
list-id-m,16,80,4,3840,20476356,5332,10497
list-id-s,16,80,4,3840,60851493,15846,12036
list-none-m,1,1000,4,3000,3196721,1065,324
list-none-s,1,1000,4,3000,3281906,1093,337
list-none-m,1,1000,8,3000,2814137,938,337
list-none-s,1,1000,8,3000,2800696,933,341
list-none-m,1,1000,16,3000,2552711,850,329
list-none-s,1,1000,16,3000,2452314,817,314
list-none-m,2,1000,4,6000,21916082,3652,1331
list-none-s,2,1000,4,6000,30136715,5022,951
list-none-m,2,1000,8,6000,16161143,2693,803
list-none-s,2,1000,8,6000,18355165,3059,551
list-none-m,2,1000,16,6000,12431458,2071,584
list-none-s,2,1000,16,6000,12354797,2059,445
list-none-m,4,1000,4,12000,62766727,5230,3641
list-none-s,4,1000,4,12000,101843305,8486,3420
list-none-m,4,1000,8,12000,43166075,3597,1649
list-none-s,4,1000,8,12000,54944638,4578,1217
list-none-m,4,1000,16,12000,30714979,2559,914
list-none-s,4,1000,16,12000,32261383,2688,619
list-none-m,8,1000,4,24000,205964307,8581,179335
list-none-s,8,1000,4,24000,392719830,16363,9986
list-none-m,8,1000,8,24000,130112781,5421,4137
list-none-s,8,1000,8,24000,168155039,7006,3128
list-none-m,8,1000,16,24000,85197235,3549,1746
list-none-s,8,1000,16,24000,89358113,3723,1195
list-none-m,12,1000,4,36000,479730714,13325,32198
list-none-s,12,1000,4,36000,1238690754,34408,24818
list-none-m,12,1000,8,36000,305526742,8486,9826
list-none-s,12,1000,8,36000,450239693,12506,6905
list-none-m,12,1000,16,36000,185842524,5162,3337
list-none-s,12,1000,16,36000,195149728,5420,2148
list-none-m,1,1000,1,3000,6254216,2084,351
list-none-s,1,1000,1,3000,6074273,2024,321
list-none-m,4,1000,1,12000,111943350,9328,27880
list-none-s,4,1000,1,12000,119346534,9945,29410
list-none-m,8,1000,1,24000,1498712829,62446,434602
list-none-s,8,1000,1,24000,477784111,19907,137202
list-none-m,12,1000,1,36000,2234369910,62065,525900
list-none-s,12,1000,1,36000,1419462299,39429,429482
list-none-m,16,1000,1,48000,2426112878,50544,779812
list-none-s,16,1000,1,48000,3627656575,75576,994506
list-none-m,24,1000,1,72000,5166249282,71753,1704588
list-none-s,24,1000,1,72000,7827576220,108716,2151250
list-id-none,1,1,4,3,95558,31852,0
list-id-none,1,2,4,6,95879,15979,0
list-id-none,1,4,4,12,95764,7980,0
list-id-none,1,8,4,24,73301,3054,0
list-id-none,1,16,4,48,97848,2038,0
list-id-none,4,1,4,12,152148,12679,0
list-id-none,4,2,4,24,149982,6249,0
list-id-none,4,4,4,48,159981,3332,0
list-id-none,4,8,4,96,138602,1443,0
list-id-none,8,1,4,24,239571,9982,0
list-id-none,8,2,4,48,233716,4869,0
list-id-none,8,4,4,96,227912,2374,0
list-id-none,8,8,4,192,226489,1179,0
list-id-none,8,16,4,384,252495,657,0
list-id-none,12,1,4,36,342203,9505,0
list-id-none,12,2,4,72,337367,4685,0
list-id-none,12,4,4,144,342679,2379,0
list-id-none,12,16,4,576,346042,600,0
list-id-none,16,1,4,48,414902,8643,0
list-id-none,16,2,4,96,454726,4736,0
list-id-none,16,4,4,192,436874,2275,0
list-id-none,16,8,4,384,453747,1181,0
list-id-m,1,10,4,30,121826,4060,468
list-id-s,1,10,4,30,130912,4363,425
list-id-m,1,20,4,60,145486,2424,399
list-id-s,1,20,4,60,151800,2530,373
list-id-m,1,40,4,120,194697,1622,367
list-id-s,1,40,4,120,194501,1620,416
list-id-m,1,80,4,240,279957,1166,351
list-id-s,1,80,4,240,270349,1126,317
list-id-m,4,10,4,120,191756,1597,711
list-id-s,4,10,4,120,190431,1586,591
list-id-m,4,20,4,240,293962,1224,1295
list-id-s,4,20,4,240,209214,871,642
list-id-m,4,40,4,480,460880,960,1225
list-id-s,4,40,4,480,367359,765,838
list-id-m,4,80,4,960,923277,961,1580
list-id-s,4,80,4,960,646286,673,884
list-id-m,8,10,4,240,338687,1411,1953
list-id-s,8,10,4,240,287263,1196,546
list-id-m,8,20,4,480,477807,995,2443
list-id-s,8,20,4,480,377630,786,1286
list-id-m,8,40,4,960,898046,935,3277
list-id-s,8,40,4,960,675960,704,2305
list-id-m,8,80,4,1920,1891871,985,4184
list-id-s,8,80,4,1920,1588986,827,3545
list-id-m,12,10,4,360,442588,1229,1949
list-id-s,12,10,4,360,391801,1088,598
list-id-m,12,20,4,720,636872,884,2915
list-id-s,12,20,4,720,554393,769,2141
list-id-m,12,40,4,1440,1328486,922,5329
list-id-s,12,40,4,1440,1081492,751,3698
list-id-m,12,80,4,2880,2912244,1011,7716
list-id-s,12,80,4,2880,2783278,966,7102
list-id-m,16,10,4,480,543030,1131,1414
list-id-s,16,10,4,480,509313,1061,488
list-id-m,16,20,4,960,847414,882,4120
list-id-s,16,20,4,960,614404,640,1257
list-id-m,16,40,4,1920,1722090,896,7451
list-id-s,16,40,4,1920,1377453,717,4573
list-id-m,16,80,4,3840,3972684,1034,11674
list-id-s,16,80,4,3840,4356712,1134,12207
list-none-m,1,1000,4,3000,3249798,1083,335
list-none-s,1,1000,4,3000,3128319,1042,321
list-none-m,1,1000,8,3000,2791632,930,339
list-none-s,1,1000,8,3000,2665603,888,324
list-none-m,1,1000,16,3000,2576228,858,348
list-none-s,1,1000,16,3000,2493638,831,330
list-none-m,2,1000,4,6000,12873451,2145,1301
list-none-s,2,1000,4,6000,7647988,1274,596
list-none-m,2,1000,8,6000,8613764,1435,751
list-none-s,2,1000,8,6000,5003725,833,423
list-none-m,2,1000,16,6000,4055390,675,443
list-none-s,2,1000,16,6000,3722280,620,377
list-none-m,4,1000,4,12000,21985515,1832,3492
list-none-s,4,1000,4,12000,17200436,1433,2231
list-none-m,4,1000,8,12000,12147230,1012,1431
list-none-s,4,1000,8,12000,14957908,1246,1283
list-none-m,4,1000,16,12000,8296566,691,834
list-none-s,4,1000,16,12000,7756397,646,582
list-none-m,8,1000,4,24000,65246276,2718,13969
list-none-s,8,1000,4,24000,52589013,2191,10716
list-none-m,8,1000,8,24000,26084003,1086,4271
list-none-s,8,1000,8,24000,22377010,932,3025
list-none-m,8,1000,16,24000,15465910,644,1895
list-none-s,8,1000,16,24000,12031074,501,1229
list-none-m,12,1000,4,36000,137154912,3809,33852
list-none-s,12,1000,4,36000,122899181,3413,29556
list-none-m,12,1000,8,36000,52789864,1466,10322
list-none-s,12,1000,8,36000,41708530,1158,7589
list-none-m,12,1000,16,36000,24168069,671,3535
list-none-s,12,1000,16,36000,18398052,511,2286
list-none-m,1,1000,1,3000,6230522,2076,352
list-none-s,1,1000,1,3000,6261962,2087,340
list-none-m,4,1000,1,12000,110097378,9174,27522
list-none-s,4,1000,1,12000,1127512580,93959,364863
list-none-m,8,1000,1,24000,539906189,22496,153289
list-none-s,8,1000,1,24000,1480350358,61681,430876
list-none-m,12,1000,1,36000,1196524026,33236,416470
list-none-s,12,1000,1,36000,1427987745,39666,451062
list-none-m,16,1000,1,48000,3328093760,69335,912347
list-none-s,16,1000,1,48000,2517152150,52440,716570
list-none-m,24,1000,1,72000,5309640844,73745,1646638
list-none-s,24,1000,1,72000,6465444808,89797,1633481
list-id-none,1,1,4,3,94951,31650,0
list-id-none,1,2,4,6,75765,12627,0
list-id-none,1,4,4,12,97354,8112,0
list-id-none,1,8,4,24,101874,4244,0
list-id-none,1,16,4,48,86164,1795,0
list-id-none,4,1,4,12,142941,11911,0
list-id-none,4,2,4,24,150775,6282,0
list-id-none,4,4,4,48,145951,3040,0
list-id-none,4,8,4,96,159156,1657,0
list-id-none,4,16,4,192,131689,685,0
list-id-none,8,1,4,24,253988,10582,0
list-id-none,8,2,4,48,238434,4967,0
list-id-none,8,4,4,96,235542,2453,0
list-id-none,8,8,4,192,257856,1343,0
list-id-none,12,1,4,36,867399,24094,0
list-id-none,12,2,4,72,336440,4672,0
list-id-none,12,4,4,144,353039,2451,0
list-id-none,12,8,4,288,366544,1272,0
list-id-none,12,16,4,576,317218,550,0
list-id-none,16,1,4,48,466072,9709,0
list-id-none,16,2,4,96,448003,4666,0
list-id-none,16,4,4,192,452965,2359,0
list-id-none,16,8,4,384,458015,1192,0
list-id-none,16,16,4,768,459513,598,0
list-id-m,1,10,4,30,134316,4477,653
list-id-s,1,10,4,30,102588,3419,414
list-id-m,1,20,4,60,132476,2207,393
list-id-s,1,20,4,60,147617,2460,385
list-id-m,1,40,4,120,194502,1620,368
list-id-s,1,40,4,120,175623,1463,356
list-id-m,1,80,4,240,284697,1186,355
list-id-s,1,80,4,240,291728,1215,381
list-id-m,4,10,4,120,242168,2018,1737
list-id-s,4,10,4,120,182216,1518,634
list-id-m,4,20,4,240,280957,1170,1132
list-id-s,4,20,4,240,235787,982,770
list-id-m,4,40,4,480,499044,1039,1430
list-id-s,4,40,4,480,359259,748,800
list-id-m,4,80,4,960,644755,671,1079
list-id-s,4,80,4,960,717829,747,1055
list-id-m,8,10,4,240,322952,1345,2279
list-id-s,8,10,4,240,247129,1029,675
list-id-m,8,20,4,480,527740,1099,3153
list-id-s,8,20,4,480,397749,828,1956
list-id-m,8,40,4,960,853395,888,3144
list-id-s,8,40,4,960,681877,710,2455
list-id-m,8,80,4,1920,1909325,994,4466
list-id-s,8,80,4,1920,1555063,809,3241
list-id-m,12,10,4,360,434663,1207,1711
list-id-s,12,10,4,360,402241,1117,845
list-id-m,12,20,4,720,694701,964,3844
list-id-s,12,20,4,720,531823,738,2138
list-id-m,12,40,4,1440,1249662,867,5262
list-id-s,12,40,4,1440,1049481,728,4033
list-id-m,12,80,4,2880,2755502,956,7220
list-id-s,12,80,4,2880,2769614,961,7017
list-id-m,16,10,4,480,561103,1168,2804
list-id-s,16,10,4,480,451918,941,573
list-id-m,16,20,4,960,862091,898,4923
list-id-s,16,20,4,960,621826,647,1671
list-id-m,16,40,4,1920,1880854,979,9473
list-id-s,16,40,4,1920,1637211,852,6509
list-id-m,16,80,4,3840,3944273,1027,11049
list-id-s,16,80,4,3840,4345872,1131,12323
list-none-m,1,1000,4,3000,3272845,1090,336
list-none-s,1,1000,4,3000,3346046,1115,351
list-none-m,1,1000,8,3000,2698244,899,326
list-none-s,1,1000,8,3000,2867555,955,356
list-none-m,1,1000,16,3000,2563793,854,336
list-none-s,1,1000,16,3000,2553759,851,340
list-none-m,2,1000,4,6000,8157106,1359,865
list-none-s,2,1000,4,6000,7747164,1291,614
list-none-m,2,1000,8,6000,5451243,908,554
list-none-s,2,1000,8,6000,5070510,845,435
list-none-m,2,1000,16,6000,3969322,661,432
list-none-s,2,1000,16,6000,3768259,628,392
list-none-m,4,1000,4,12000,22070404,1839,3405
list-none-s,4,1000,4,12000,21133776,1761,2739
list-none-m,4,1000,8,12000,12507423,1042,1501
list-none-s,4,1000,8,12000,11319221,943,1030
list-none-m,4,1000,16,12000,8163444,680,810
list-none-s,4,1000,16,12000,7545686,628,579
list-none-m,8,1000,4,24000,64626096,2692,13820
list-none-s,8,1000,4,24000,51319393,2138,10502
list-none-m,8,1000,8,24000,26460173,1102,4269
list-none-s,8,1000,8,24000,22092065,920,3318
list-none-m,8,1000,16,24000,13482974,561,1704
list-none-s,8,1000,16,24000,11493891,478,1157
list-none-m,12,1000,4,36000,137411218,3816,33951
list-none-s,12,1000,4,36000,120262841,3340,28775
list-none-m,12,1000,8,36000,51763524,1437,10123
list-none-s,12,1000,8,36000,42321325,1175,7709
list-none-m,12,1000,16,36000,22354162,620,3314
list-none-s,12,1000,16,36000,18386873,510,2383
list-none-m,1,1000,1,3000,6339534,2113,358
list-none-s,1,1000,1,3000,6163878,2054,334
list-none-m,4,1000,1,12000,107878122,8989,26182
list-none-s,4,1000,1,12000,116582036,9715,29039
list-none-m,8,1000,1,24000,1488554795,62023,429354
list-none-s,8,1000,1,24000,484264857,20177,139398
list-none-m,12,1000,1,36000,2206533289,61292,487909
list-none-s,12,1000,1,36000,942553200,26182,235290
list-none-m,16,1000,1,48000,3342124202,69627,1001472
list-none-s,16,1000,1,48000,3940311604,82089,1184060
list-none-m,24,1000,1,72000,5405812180,75080,1686492
list-none-s,24,1000,1,72000,6483819610,90053,1686927
list-id-none,1,1,4,3,77143,25714,0
list-id-none,1,2,4,6,96044,16007,0
list-id-none,1,4,4,12,94615,7884,0
list-id-none,1,8,4,24,94568,3940,0
list-id-none,1,16,4,48,106910,2227,0
list-id-none,4,1,4,12,141400,11783,0
list-id-none,4,2,4,24,182257,7594,0
list-id-none,4,4,4,48,151681,3160,0
list-id-none,4,8,4,96,174025,1812,0
list-id-none,4,16,4,192,160158,834,0
list-id-none,8,1,4,24,267936,11164,0
list-id-none,8,2,4,48,240789,5016,0
list-id-none,8,4,4,96,242611,2527,0
list-id-none,8,8,4,192,243548,1268,0
list-id-none,8,16,4,384,256026,666,0
list-id-none,12,1,4,36,337392,9372,0
list-id-none,12,2,4,72,337988,4694,0
list-id-none,12,4,4,144,359307,2495,0
list-id-none,12,8,4,288,352223,1222,0
list-id-none,12,16,4,576,349443,606,0
list-id-none,16,1,4,48,460992,9604,0
list-id-none,16,2,4,96,425600,4433,0
list-id-none,16,4,4,192,429523,2237,0
list-id-none,16,8,4,384,456757,1189,0
list-id-none,16,16,4,768,478092,622,0
list-id-m,1,10,4,30,98174,3272,430
list-id-s,1,10,4,30,103895,3463,410
list-id-m,1,20,4,60,141479,2357,370
list-id-s,1,20,4,60,141917,2365,358
list-id-m,1,40,4,120,187381,1561,360
list-id-s,1,40,4,120,164941,1374,350
list-id-m,1,80,4,240,252448,1051,333
list-id-s,1,80,4,240,277992,1158,347
list-id-m,4,10,4,120,223224,1860,1800
list-id-s,4,10,4,120,170773,1423,679
list-id-m,4,20,4,240,277805,1157,1229
list-id-s,4,20,4,240,213231,888,842
list-id-m,4,40,4,480,485370,1011,1440
list-id-s,4,40,4,480,354326,738,879
list-id-m,4,80,4,960,963667,1003,1731
list-id-s,4,80,4,960,738999,769,1061
list-id-m,8,10,4,240,388351,1618,1931
list-id-s,8,10,4,240,307899,1282,576
list-id-m,8,20,4,480,465652,970,1971
list-id-s,8,20,4,480,365678,761,1198
list-id-m,8,40,4,960,882531,919,3119
list-id-s,8,40,4,960,723810,753,2335
list-id-m,8,80,4,1920,1941547,1011,4499
list-id-s,8,80,4,1920,1735104,903,3799
list-id-m,12,10,4,360,461113,1280,2172
list-id-s,12,10,4,360,463915,1288,603
list-id-m,12,20,4,720,714651,992,4252
list-id-s,12,20,4,720,562598,781,1936
list-id-m,12,40,4,1440,1384124,961,5981
list-id-s,12,40,4,1440,1113800,773,4322
list-id-m,12,80,4,2880,2799509,972,7281
list-id-s,12,80,4,2880,2827888,981,7492
list-id-m,16,10,4,480,533248,1110,2856
list-id-s,16,10,4,480,453811,945,648
list-id-m,16,20,4,960,885953,922,5498
list-id-s,16,20,4,960,622460,648,1905
list-id-m,16,40,4,1920,1716269,893,8306
list-id-s,16,40,4,1920,1682352,876,7942
list-id-m,16,80,4,3840,4005069,1042,11594
list-id-s,16,80,4,3840,4583598,1193,13147
list-none-m,1,1000,4,3000,3282447,1094,336
list-none-s,1,1000,4,3000,3270833,1090,342
list-none-m,1,1000,8,3000,2906818,968,350
list-none-s,1,1000,8,3000,2820307,940,337
list-none-m,1,1000,16,3000,2698759,899,354
list-none-s,1,1000,16,3000,2536841,845,337
list-none-m,2,1000,4,6000,12960021,2160,1334
list-none-s,2,1000,4,6000,14939012,2489,910
list-none-m,2,1000,8,6000,8704729,1450,765
list-none-s,2,1000,8,6000,9066370,1511,548
list-none-m,2,1000,16,6000,6285350,1047,567
list-none-s,2,1000,16,6000,6023391,1003,425
list-none-m,4,1000,4,12000,22784222,1898,3626
list-none-s,4,1000,4,12000,25507125,2125,3335
list-none-m,4,1000,8,12000,12878831,1073,1559
list-none-s,4,1000,8,12000,13405656,1117,1224
list-none-m,4,1000,16,12000,8727264,727,930
list-none-s,4,1000,16,12000,8973612,747,655
list-none-m,8,1000,4,24000,61595461,2566,13219
list-none-s,8,1000,4,24000,50126161,2088,10033
list-none-m,8,1000,8,24000,26674955,1111,4329
list-none-s,8,1000,8,24000,21217269,884,3058
list-none-m,8,1000,16,24000,14320290,596,1789
list-none-s,8,1000,16,24000,11228579,467,1199
list-none-m,12,1000,4,36000,128307918,3564,31616
list-none-s,12,1000,4,36000,110920771,3081,26550
list-none-m,12,1000,8,36000,49712525,1380,9742
list-none-s,12,1000,8,36000,41581568,1155,7556
list-none-m,12,1000,16,36000,22759810,632,3355
list-none-s,12,1000,16,36000,18152777,504,2340
